Feature ID	Taxon	Consensus
08a2da8b66d1cd548131dfcef8e3ce28	Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Trebouxiophyceae;Trebouxiophyceae_X;Trebouxiophyceae_XX;Choricystis	0.571
08cc280769e680fb57ac41fd196b5970	Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae;Bacillariales;Bacillariaceae	0.625
08ccaad85f316e93f214ccb728dea7b0	Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros_tenuissimus;	0.714
08d810304198fd9820388203938f0b63	Eukaryota	1.0
08e8a0665aba7a4f12c5d834957f4a09	Eukaryota;Excavata;Discoba;Euglenozoa;Euglenida;Petalomonadida;Eupetalomonads_X;Eupetalomonads_XX;Eupetalomonads_XX_sp.;	0.6
08eb3865555f139fbe6b80d3e46b89b2	Eukaryota	1.0
09003fc1a84d186f2daadc11352d1ce4	Eukaryota	1.0
0918b922aba4f78523181d33339b9ea0	Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae	0.714
092c1da0ef95a8e3c67c3c006f1f4beb	Eukaryota;Obazoa;Opisthokonta;Metazoa	0.6
0964b1713f93b6cf7dccd4c6d42e1644	Eukaryota;TSAR;Alveolata;Ciliophora;Litostomatea;Haptoria_6;Lacrymariidae;Lacrymaria	0.6
099c12500d9214b52b0b7ef829c29c4f	Eukaryota;TSAR;Alveolata	0.714
09ad5e987d5334947fe64a042ace4499	Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-4	0.571
09b6fd47f95450f37754465a1cbb0db5	Eukaryota	1.0
09be3cde74b46cb989030ce204ac3aac	Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae	0.625
09d0f6b7c37972e5ce57b7536bdf3cb7	Eukaryota;Obazoa;Opisthokonta;Fungi	0.9
09d4b6897e1bf127f371233b10a6cc2b	Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II	0.714
09de8bed533b5b2a11d2a5e0c9dda0d3	Eukaryota;Obazoa;Opisthokonta	0.8
09e2ad57fe91a9f3af20396ecb2ad4da	Eukaryota	1.0
09eaa97d23b2cd6f6c7f7656ce97710e	Eukaryota;TSAR	0.6
09fa57e71aaabf1c01f54c3d95659b7f	Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Thalassiosirales;Thalassiosiraceae	0.571
0a0bcb7e3bec816386ffea01e331f44b	Eukaryota;TSAR;Alveolata;Dinoflagellata	0.75
0a0cb514672e35fe3e2a0f1ce490589a	Eukaryota	1.0
0a247b38b1f513735082a8e37564e733	Eukaryota;TSAR	0.625
0a2b66502adbf20759c2c8bc3d62b25b	Eukaryota:nucl;Cryptista:nucl;Cryptophyta:nucl;Cryptophyta_X:nucl;Cryptophyceae:nucl;Cryptomonadales:nucl;Hemiselmidaceae:nucl	0.625
0a3d192c06cdb51ffc5c4fc79d13bdd1	Eukaryota;TSAR;Alveolata	0.571
0ae00c1254c505fc8d82deedeb9a9067	Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Euplotia;Euplotidae;Euplotes	0.571
0af8335bb775e2aac80aca3f0de6be0a	Eukaryota;Obazoa;Opisthokonta;Metazoa;Nematoda;Chromadorea;Chromadorea_X;Axonolaimus;Axonolaimus_sp.;	0.6
0b4d7873a8352040b842a98c66d35d2d	Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Prasino-Clade-9;Prasino-Clade-9_X;Prasino-Clade-9_XX;Prasino-Clade-9_XXX;Prasino-Clade-9_XXX_sp.;	1.0
0b6839c101118609072dc0c864e7a15b	Eukaryota;TSAR;Stramenopiles;Gyrista;Eustigmatophyceae;Eustigmatophyceae_X;Eustigmatophyceae_XX	0.625
0b7e0091ed6825eb9727c361a723a561	Eukaryota;TSAR;Alveolata;Apicomplexa;Gregarinomorphea;Gregarinomorphea_X;Gregarinomorphea_XX	0.8
0b91a3cf2c660876e23a92fdfd79eea2	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae	0.75
0baecdfb27a90fde5007826692fac947	Eukaryota;Amoebozoa;Discosea;Discosea_X;Flabellinia;Dactylopodida;Paramoebidae;Korotnevella	0.714
0bb59af94a95cb7d0357cd62260ff782	Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1;Dino-Group-II-Clade-1_X;Dino-Group-II-Clade-1_X_sp.;	0.714
0bbc4d4a7d72060ee066cb7fa907857a	Eukaryota;Obazoa;Opisthokonta;Metazoa	0.571
0bca6cbd54f0c55691f492f916d19fd9	Eukaryota;Cryptista;Kathablepharidacea;Kathablepharida;Kathablepharidea;Kathablepharidida;Kathablepharidida_X;Kathablepharidida_XX;Kathablepharidida_XX_sp.;	0.625
0bd1e957fea5135d336624f1fdb59220	Eukaryota;Obazoa;Opisthokonta	1.0
0bf42b65427c122c1ef73c52dc73dc4e	Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda	0.667
0bf6d5c84ed71fcd722ae1ad7e5efe9c	Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;Chrysophyceae_Clade-EC2H;Chrysophyceae_Clade-EC2H_X;Chrysophyceae_Clade-EC2H_XX;Chrysophyceae_Clade-EC2H_XX_sp.;	1.0
0c0477aa8a0b60a7463b031a2ef2807c	Eukaryota	1.0
0c12a4d3dd91dfc2da2951383c0dd21c	Eukaryota;TSAR;Alveolata;Ciliophora;Prostomatea;Prorodontida;Urotrichidae;Urotricha;Urotricha_sp.;	1.0
0c162c600dd14efe289a981658661a91	Eukaryota;Obazoa;Opisthokonta;Metazoa;Bryozoa;Bryozoa_X;Bryozoa_XX	0.556
0c295bb79dec5ae17d5325800e882f42	Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda	0.7
0c43c595e2a479ead4369f792de86c38	Eukaryota	1.0
0c4a226ef74f6f729eb71928191baa7a	Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda	0.6
0c77135680939ead32fa36c7a706330b	Eukaryota;Obazoa;Opisthokonta;Fungi	0.9
0c7dc50c89ce1695539e755daddcabb7	Eukaryota	0.625
0c955207adb59805e358f41ff47c6733	Eukaryota;Obazoa;Opisthokonta	0.7
0c9f3623c7d7daaae26cb802bc955f3c	Eukaryota;Obazoa;Opisthokonta;Metazoa;Mollusca;Bivalvia;Heteroconchia	0.714
0ca8e167a4dd3650073872c45ddbd727	Eukaryota;TSAR;Stramenopiles	0.714
0cc4f6f68ee32ffbc5bdc81d17d45f07	Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda	0.857
0cdec4d916329102386e78f827fae513	Eukaryota	1.0
0cea37a4b1c441051b51265fe894ca20	Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Oligotrichida	0.625
0cf8158606c91586481b63ad7be67569	Eukaryota;Obazoa;Opisthokonta;Fungi	0.625
0d1d4767dae142a4ac0d639e560b6e6d	Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota	0.625
0d2d31cf4bc35ba7c9fb7539a4cbf01a	Eukaryota;TSAR;Rhizaria;Radiolaria;Acantharea;Acantharea_C	0.571
0d307d040bf07b5d5a7e6921e7341cc4	Eukaryota:nucl;Cryptista:nucl;Cryptophyta:nucl;Cryptophyta_X:nucl;Cryptophyceae:nucl;Cryptomonadales:nucl;Cryptomonadales_X:nucl	0.625
0d35c51d33d64808931d4ff58ff591fe	Eukaryota;Obazoa;Opisthokonta;Metazoa	0.6
0d4180f1459f476af436e1b1c39e658d	Eukaryota;TSAR;Alveolata;Dinoflagellata	0.571
0d5220dd78ab58e9e97e1bbaf8ca4aad	Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Oligotrichida;Strombidiidae;Strombidiidae_X;Strombidiidae_X_sp.;	0.625
0d52c0d3145537e270cb54e184be3cc5	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnoxanthella;Gymnoxanthella_radiolariae;	0.571
0d62472ad6136db0e7e418e684bb2a36	Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda	0.667
0d7d29bdc880c0d0afc334831716c6d8	Eukaryota;Obazoa;Opisthokonta	0.875
0d81386cf732df5e691ee4bf7c214be0	Eukaryota;Haptista	0.625
0da4260c9b269fa25642233ce7104204	Eukaryota;Amoebozoa;Discosea;Discosea_X;Centramoebia;Acanthopodida;Acanthamoebidae;Acanthamoeba;Acanthamoeba_sp.;	0.8
0db8565ea41a8ea792dd5aff9083f001	Eukaryota	1.0
0dca67c2ce907bf0ca392cec9fe08c20	Eukaryota	1.0
0dcbc28cea080612d1429d94198a8368	Eukaryota;TSAR;Stramenopiles;Bigyra;Opalozoa;Placidida;Placidiales;Wobblia	0.571
0dd38a61213dc12c48a6b695512bc41d	Eukaryota;Haptista;Centroplasthelida;Centroplasthelida_X	0.571
0ddf360210a7a211ab59e49326a727a1	Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Holostichidae;Metaurostylopsis	0.714
0de36459203ed3e658d1167ae7a81625	Eukaryota	1.0
0de998eab6be1dbf23a36991d7d098a7	Eukaryota;TSAR;Alveolata;Ciliophora	0.625
0e2b317417b5df144e5bc4d42783a0e6	Eukaryota;TSAR;Alveolata;Ciliophora	0.6
0e3445d703990271f7f01a4692fa107c	Eukaryota;TSAR;Stramenopiles;Bigyra;Opalozoa;Nanomonadea;MAST-3;MAST-3F;MAST-3F_sp.;	0.714
0e4e92b5c579f3e8cae5bbdfb45f1ced	Eukaryota	1.0
0e5628188f981afcc8443ef3d0224f17	Eukaryota	1.0
0e8676b340ccd7096c9533cb26401494	Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales	0.571
0ea9b9760b1ba3ef9b75ab47be2ce537	Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;	0.625
0eaa5479aa012e5d9575e56c48882527	Eukaryota	1.0
0eb10867cac23317e32e990c88ee69e2	Eukaryota;Obazoa;Opisthokonta;Fungi	0.9
0eb39a0dc08970226d20fd94c1317c45	Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Pyramimonadophyceae;Pseudoscourfieldiales;Pycnococcaceae	0.714
0eebb655f73fab6e8c51472f800a93b4	Eukaryota	1.0
0f09d66ede793bd186f757afea90d5c0	Eukaryota;TSAR;Rhizaria;Cercozoa;Endomyxa-Phytomyxea;Phagomyxida;Phagomyxidae;Phagomyxa	0.6
0f0c9691834a901a4c9e215446846711	Eukaryota;Obazoa;Opisthokonta;Metazoa	0.7
0f1de7d0c276435455f7d56cd38181c6	Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Trebouxiophyceae;Chlorellales;Chlorellales_X;Prototheca	0.571
0f258bb3b854d15588ed3e85e92875f1	Eukaryota;TSAR;Rhizaria;Cercozoa	0.571
0f2f42a9bc99eedcecc967180fcc416b	Eukaryota;TSAR;Stramenopiles;Bigyra	0.625
0f3ad75c584fab2213fc21d145dbcdbe	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Suessiales;Suessiaceae	0.625
0f43670c5fa1b97d4df231956f565ea0	Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda	0.75
0f44ea7302437f9f703e30869374d34b	Eukaryota;TSAR;Stramenopiles;Bigyra;Sagenista;Sagenista_X;MAST-7;MAST-7D;MAST-7D_sp.;	0.667
0f4ae4cfab08da62d83822c9c5fd99b5	Eukaryota	1.0
0f5db32ca3c74bd7357fbec0a7123238	Eukaryota;TSAR;Stramenopiles;Gyrista;Coscinodiscophyceae	0.571
0f6c868b4205d7fa34ab1db000649a89	Eukaryota;TSAR;Rhizaria;Foraminifera;Monothalamids;Monothalamids_X;Monothalamids_XX;Astrorhizida;Astrorhizida_sp.;	0.8
0f9335c3c78be360fdd2257a6707ccf7	Eukaryota;TSAR;Alveolata;Dinoflagellata	0.75
0f9b670c389b102b558b71b3638925db	Eukaryota;Obazoa;Opisthokonta;Metazoa	0.6
0fc6a5f75293388eff5fcc35d9463551	Eukaryota;Obazoa;Opisthokonta;Metazoa	0.7
0fd942d8671d7b676e08f1475111e0f1	Eukaryota;TSAR;Alveolata	0.75
0fec9bf91cf23c68dc02877718ec638f	Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;Chrysophyceae_Clade-EC2H;Chrysophyceae_Clade-EC2H_X;Chrysophyceae_Clade-EC2H_XX;Chrysophyceae_Clade-EC2H_XX_sp.;	1.0
